知识类型,题干,答案,选项
填空,“四个意识”是指什么:,政治意识｜大局意识｜核心意识｜看齐意识,
填空,“四个自信”是指什么:,道路自信｜理论自信｜制度自信｜文化自信,
填空,“两个维护”是指什么:,坚决维护习近平总书记党中央的核心｜全党的核心地位，坚决维护党中央权威和集中统一领导,
填空,“四个伟大”是指什么：,伟大斗争，伟大工程，伟大事业，伟大梦想,
填空,中国共产党人的初心和使命是什么：,为中国人民谋幸福，为中华民族谋复兴,
填空,“两学一做”是指什么,学党章党规｜学系列讲话，做合格党员,
填空,“三严三实”是指什么,严以修身｜严以用权｜严以律己｜谋事要实｜创业要实｜做人要实,
填空,党的三大作风是什么,理论联系实际｜密切联系群众｜批评与自我批评,
填空,党内政治生活“四性”是指什么,政治性｜时代性｜原则性｜战斗性,
填空,“四个全面”是指什么,全面建成小康社会｜全面深化改革｜全面依法治国｜全面从严治党,
填空,“四大考验”是指什么,执政考验｜改革开放考验｜市场经济考验｜外部环境考验,
填空,“四大危险”是指什么,精神懈怠的危险｜能力不足的危险｜脱离群众的危险｜消极腐败的危险,
填空,“四讲四有”是指什么,讲政治有信念，讲规矩有纪律，讲道德有品行，讲奉献有作为,
填空,“四个合格”是指什么,政治合格，执行纪律合格，品德合格，发挥作用合格,
填空,“三大攻坚战”是指什么,防范化解重大风险｜精准脱贫｜污染防治,
填空,“两个一百年”奋斗目标是什么,到建党一百年时，全面建成小康社会；到新中国成立一百年时，全面建成社会主义现代化强国,
填空,“两步走”战略安排是什么,从2020年到2035年，在全面建成小康社会的基础上，再奋斗十五年，基本实现社会主义现代化；从2035年到本世纪中叶，在基本实现现代化的基础上，再奋斗十五年，把我国建成富强民主文明和谐美丽的社会主义现代化强国,
填空,党的“三大历史任务”是什么,推进现代化建设｜完成祖国统一｜维护世界和平与促进共同发展,
填空,社会主义核心价值观的内容是什么,富强｜民主｜文明｜和谐｜自由｜平等｜公正｜法治｜爱国｜敬业｜诚信｜友善,
填空,共产党人价值观是什么,忠诚老实｜公道正派｜实事求是｜清正廉洁,
填空,“五位一体”总体布局是指什么,经济建设｜政治建设｜文化建设｜社会建设｜生态文明建设,
填空,五大发展理念是什么,创新｜协调｜绿色｜开放｜共享,
填空,“五个文明”是指什么,物质文明｜政治文明｜精神文明｜社会文明｜生态文明,
填空,“中国梦”是指什么,实现中华民族伟大复兴，是近代以来中国人民最伟大的梦想,
填空,党的根本宗旨是什么,全心全意为人民服务,
填空,党的群众路线是什么,一切为了群众，一切依靠群众，从群众中来，到群众中去，把党的正确主张变为群众的自觉行为,
填空,党的“六大建设”是指什么,政治建设｜思想建设｜组织建设｜作风建设｜纪律建设，把制度建设贯穿其中,
填空,“四风”是指什么,形式主义｜官僚主义｜享乐主义和奢靡之风,
填空,“四个自我”是指什么,自我净化｜自我完善｜自我革新｜自我提高,
填空,党的“六大纪律”是指什么,政治纪律｜组织纪律｜廉洁纪律｜群众纪律｜工作纪律｜生活纪律,
填空,党风廉政建设责任制的责任主体是什么,各级党政领导班子及其成员，领导班子中的正职为本地区、本部门、本单位党风廉政建设第一责任人,
填空,“两个责任”是指什么,党委主体责任｜纪委监督责任,
填空,“一岗双责”是指什么,在履行本职岗位管理职责的同时，还要对所在单位和分管领域的党风廉政建设负责,
填空,中央“八项规定”的内容是什么,改进调查研究｜精简会议活动｜精简文件简报｜规范出访活动｜改进警卫工作｜改进新闻报道｜严格文稿发表｜厉行勤俭节约,
填空,监督执纪“四种形态”是指什么,开展批评和自我批评｜约谈函询，让“红红脸、出出汗”成为常态｜党纪轻处分、组织调整成为违纪处理的大多数；｜党纪重处分、重大职务调整的成为少数；｜严重违纪涉嫌违法立案审查的成为极少数,
填空,对党组织的三种问责方式是什么,检查｜通报｜改组,
填空,对党的领导干部的四种问责方式是什么,通报｜诫勉｜组织调整或组织处理｜纪律处分,
填空,对党员的五种纪律处分是什么,警告｜严重警告｜撤销党内职务｜留党察看｜开除党籍,
填空,“三重一大”制度是指什么,重大事项决策｜重要干部任免｜重要项目安排｜大额资金的使用,
填空,党内监督的形式有哪些,党组织（含党员所在支部）的监督｜党员群众的监督｜党员干部相互之间的监督和专职机关的监督,
填空,党按照什么原则选拔干部,德才兼备｜以德为先,
填空,凡是有正式党员多少以上的，都应当成立党支部,3,
填空,党支部成立的批复时间一般不超过多久,1个月,
填空,党支部委员之间、委员和党员之间、党员和党员之间，每年谈心谈话一般不少于几次,不少于1次,
填空,党支部党员大会一般$召开一次，党支部委员会会议一般$召开一次,每季度｜每月,
填空,发展党员必须把什么标准放在首位,政治标准,
填空,有正式党员多少以上的党支部，应当设立党支部委员会,7人以上,
填空,党支部委员会由什么选举产生,由党支部党员大会选举产生,
填空,党支部每月相对固定几天开展主题党日,1天,
填空,党支部委员会由$人组成，一般不超过$人,3至5｜7,
填空,党支部委员会必要时可以设几名副书记,1名,
填空,党委（党组）书记每年至少讲$次党课,1,
填空,党支部一般每年开展$次民主评议党员,1,
多选,“四个意识”是指什么:,*政治意识|*大局意识|*核心意识|*看齐意识,
单选,凡是有正式党员多少以上的，都应当成立党支部,1|*3|5|6,
